iter	Passed	Remaining
403	13158	19411
404	13196	19387
405	13229	19354
406	13257	19316
407	13280	19270
408	13306	19227
409	13362	19229
410	13487	19329
411	13543	19329
412	13626	19367
413	13677	19359
414	13737	19364
415	13975	19619
416	14061	19659
417	14121	19661
418	14159	19634
419	14182	19585
420	14202	19532
421	14224	19482
422	14260	19452
423	14291	19415
424	14316	19369
425	14334	19315
426	14355	19264
427	14390	19231
428	14415	19187
429	14433	19133
430	14453	19081
431	14480	19039
432	14508	18998
433	14539	18961
434	14561	18913
435	14583	18865
436	14609	18821
437	14633	18776
438	14655	18727
439	14673	18675
440	14695	18627
441	14727	18592
442	14754	18550
443	14777	18504
444	14802	18462
445	14831	18423
446	14853	18375
447	14876	18329
448	14898	18283
449	14922	18238
450	14945	18193
451	14972	18153
452	14993	18105
453	15015	18058
454	15042	18018
455	15067	17974
456	15088	17928
457	15109	17880
458	15137	17841
459	15163	17800
460	15187	17757
461	15210	17713
462	15236	17672
463	15261	17630
464	15288	17590
465	15309	17543
466	15330	17497
467	15372	17475
468	15457	17501
469	15562	17549
470	15671	17600
471	15749	17618
472	15794	17597
473	15823	17559
474	15963	17643
475	16089	17711
476	16150	17707
477	16208	17700
478	16243	17667
479	16273	17629
480	16302	17590
481	16323	17543
482	16348	17499
483	16377	17459
484	16403	17418
485	16422	17368
486	16440	17318
487	16468	17278
488	16509	17252
489	16535	17210
490	16558	17165
491	16593	17132
492	16629	17101
493	16653	17057
494	16681	17018
495	16723	16993
496	16747	16949
497	16767	16901
498	16797	16864
499	16828	16828
500	16851	16784
501	16872	16737
502	16894	16692
503	16925	16657
504	16950	16615
505	16974	16571
506	16991	16521
507	17011	16475
508	17040	16438
509	17067	16398
510	17087	16352
511	17109	16307
512	17130	16262
513	17154	16220
514	17178	16178
515	17198	16131
516	17225	16093
517	17244	16046
518	17268	16004
519	17294	15964
520	17321	15925
521	17349	15887
522	17370	15842
523	17399	15805
524	17427	15768
525	17455	15729
526	17478	15687
527	17496	15640
528	17529	15607
529	17683	15681
530	17726	15656
531	17749	15613
532	17858	15647
533	17929	15646
534	17972	15620
535	17990	15573
536	18008	15526
537	18195	15625
538	18276	15631
539	18336	15620
540	18374	15589
541	18396	15545
542	18420	15503
543	18441	15458
544	18462	15413
545	18489	15374
546	18529	15345
547	18563	15311
548	18590	15271
549	18618	15233
550	18645	15194
551	18676	15157
552	18701	15116
553	18720	15071
554	18739	15025
555	18765	14985
556	18789	14943
557	18812	14902
558	18835	14859
559	18853	14813
560	18881	14775
561	18907	14735
562	18931	14694
563	18954	14653
564	18972	14607
565	19001	14570
566	19027	14530
567	19050	14488
568	19065	14441
569	19087	14399
570	19114	14360
571	19142	14323
572	19161	14279
573	19179	14234
574	19203	14193
575	19232	14157
576	19256	14116
577	19274	14072
578	19305	14036
579	19336	14002
580	19364	13965
581	19383	13921
582	19406	13881
583	19436	13844
584	19461	13805
585	19481	13763
586	19508	13725
587	19535	13688
588	19564	13652
589	19583	13608
590	19601	13565
591	19634	13531
592	19734	13544
593	19822	13548
594	19857	13516
595	19911	13497
596	20040	13528
597	20087	13503
598	20106	13460
599	20148	13432
600	20430	13563
601	20483	13542
602	20532	13518
603	20569	13486
604	20596	13447
605	20616	13404
606	20639	13363
607	20658	13319
608	20673	13273
609	20687	13226
610	20702	13180
611	20722	13137
612	20741	13094
613	20755	13048
614	20769	13001
615	20788	12959
616	20807	12915
617	20823	12871
618	20839	12826
619	20857	12783
620	20877	12741
621	20895	12698
622	20910	12653
623	20926	12609
624	20945	12567
625	20968	12527
626	20991	12487
627	21010	12445
628	21052	12417
629	21084	12382
630	21108	12343
631	21125	12300
632	21149	12261
633	21175	12224
634	21197	12184
635	21217	12143
636	21238	12103
637	21262	12064
638	21286	12025
639	21306	11984
640	21320	11940
641	21342	11901
642	21371	11865
643	21403	11831
644	21426	11792
645	21451	11755
646	21481	11720
647	21502	11680
648	21520	11639
649	21542	11599
650	21570	11563
651	21627	11543
652	21694	11528
653	21770	11517
654	21796	11480
655	21811	11437
656	21878	11422
657	21968	11418
658	22001	11384
659	22020	11343
660	22213	11392
661	22285	11378
662	22392	11382
663	22426	11348
664	22452	11310
665	22471	11269
666	22489	11227
667	22507	11186
668	22525	11144
669	22549	11106
670	22566	11064
671	22586	11024
672	22605	10983
673	22623	10942
674	22649	10905
675	22669	10865
676	22687	10824
677	22702	10781
678	22721	10741
679	22748	10705
680	22765	10663
681	22784	10623
682	22798	10581
683	22829	10546
684	22849	10507
685	22865	10466
686	22879	10424
687	22894	10382
688	22912	10342
689	22931	10302
690	22950	10263
691	22966	10222
692	22981	10180
693	23002	10142
694	23024	10104
695	23046	10066
696	23060	10024
697	23080	9985
698	23100	9947
699	23115	9906
700	23131	9866
701	23148	9826
702	23164	9786
703	23185	9748
704	23202	9709
705	23221	9670
706	23238	9630
707	23256	9591
708	23278	9554
709	23299	9516
710	23316	9477
711	23331	9437
712	23348	9398
713	23367	9360
714	23415	9333
715	23525	9331
716	23564	9300
717	23685	9302
718	23730	9274
719	23754	9237
720	23831	9222
721	23993	9238
722	24033	9207
723	24094	9185
724	24123	9150
725	24141	9111
726	24155	9070
727	24175	9032
728	24193	8993
729	24212	8955
730	24229	8916
731	24265	8884
732	24306	8853
733	24326	8815
734	24340	8775
735	24355	8736
736	24374	8698
737	24390	8658
738	24407	8620
739	24424	8581
740	24443	8543
741	24464	8506
742	24484	8469
743	24498	8429
744	24512	8390
745	24533	8353
746	24555	8316
747	24572	8278
748	24585	8238
749	24599	8199
750	24615	8161
751	24641	8126
752	24658	8088
753	24674	8050
754	24688	8011
755	24702	7972
756	24722	7936
757	24742	7899
758	24761	7862
759	24777	7824
760	24794	7786
761	24814	7750
762	24830	7712
763	24849	7676
764	24863	7637
765	24881	7600
766	24901	7564
767	24916	7526
768	24932	7489
769	24948	7452
770	24963	7414
771	24985	7379
772	25001	7341
773	25016	7304
774	25029	7266
775	25044	7229
776	25072	7195
777	25151	7177
778	25230	7157
779	25251	7122
780	25381	7117
781	25430	7089
782	25459	7055
783	25640	7064
784	25756	7054
785	25811	7027
786	25835	6992
787	25850	6954
788	25868	6918
789	25892	6882
790	25913	6846
791	25929	6809
792	25944	6772
793	25963	6736
794	25983	6700
795	26002	6663
796	26018	6627
797	26033	6589
798	26049	6553
799	26071	6517
800	26090	6481
801	26107	6445
802	26123	6408
803	26144	6373
804	26165	6338
805	26181	6301
806	26197	6265
807	26211	6228
808	26238	6194
809	26256	6159
810	26274	6123
811	26289	6086
812	26305	6050
813	26325	6015
814	26342	5979
815	26359	5943
816	26372	5907
817	26387	5871
818	26406	5835
819	26427	5801
820	26447	5766
821	26468	5731
822	26490	5697
823	26508	5661
824	26525	5626
825	26543	5591
826	26565	5557
827	26586	5522
828	26603	5487
829	26618	5452
830	26635	5416
831	26654	5382
832	26676	5348
833	26692	5312
834	26707	5277
835	26723	5242
836	26742	5207
837	26765	5174
838	26783	5139
839	26799	5104
840	26814	5069
841	26828	5034
842	26852	5000
843	26929	4977
844	26995	4951
845	27029	4920
846	27154	4905
847	27197	4875
848	27222	4841
849	27364	4829
850	27514	4817
851	27567	4788
852	27593	4755
853	27614	4720
854	27630	4685
855	27650	4651
856	27670	4617
857	27688	4582
858	27705	4547
859	27720	4512
860	27738	4478
861	27760	4444
862	27776	4409
863	27791	4374
864	27807	4339
865	27825	4305
866	27846	4271
867	27863	4237
868	27879	4202
869	27893	4167
870	27908	4133
871	27932	4100
872	27951	4066
873	27967	4031
874	27982	3997
875	27998	3963
876	28021	3930
877	28040	3896
878	28058	3862
879	28073	3828
880	28089	3794
881	28111	3760
882	28133	3727
883	28149	3693
884	28165	3659
885	28183	3626
886	28205	3593
887	28222	3559
888	28236	3525
889	28253	3491
890	28271	3458
891	28296	3426
892	28314	3392
893	28328	3358
894	28342	3325
895	28365	3292
896	28384	3259
897	28405	3226
898	28418	3192
899	28432	3159
900	28450	3126
901	28474	3093
902	28492	3060
903	28509	3027
904	28524	2994
905	28540	2961
906	28593	2931
907	28642	2902
908	28728	2876
909	28746	2843
910	28873	2820
911	28913	2789
912	28986	2762
913	29165	2744
914	29210	2713
915	29251	2682
916	29288	2650
917	29308	2617
918	29322	2584
919	29342	2551
920	29361	2518
921	29379	2485
922	29397	2452
923	29413	2419
924	29432	2386
925	29453	2353
926	29469	2320
927	29488	2287
928	29506	2255
929	29526	2222
930	29548	2189
931	29568	2157
932	29584	2124
933	29603	2091
934	29623	2059
935	29643	2026
936	29660	1994
937	29673	1961
938	29690	1928
939	29711	1896
940	29731	1864
941	29747	1831
942	29762	1798
943	29776	1766
944	29793	1734
945	29813	1701
946	29833	1669
947	29849	1637
948	29861	1604
949	29876	1572
950	29899	1540
951	29921	1508
952	29939	1476
953	29953	1444
954	29965	1411
955	29981	1379
956	30001	1348
957	30021	1316
958	30036	1284
959	30050	1252
960	30064	1220
961	30082	1188
962	30100	1156
963	30120	1124
964	30134	1092
965	30149	1061
966	30170	1029
967	30188	997
968	30206	966
969	30223	934
970	30239	903
971	30277	872
972	30346	842
973	30416	811
974	30455	780
975	30561	751
976	30611	720
977	30650	689
978	30664	657
979	30813	628
980	30870	597
981	30910	566
982	30940	535
983	30967	503
984	30992	471
985	31014	440
986	31036	408
987	31051	377
988	31065	345
989	31079	313
990	31093	282
991	31115	250
992	31136	219
993	31155	188
994	31169	156
995	31183	125
996	31202	93
997	31226	62
998	31246	31
999	31262	0
